0.02989	0.022299	0.011052	0.0046852	0.0018692	0.00073649	0.00027284	0.00009754	0.000038454	0.000016358	4.761e-6	3.0519e-6	1.2208e-6	0	0	0	0	0	0	0	0
0.013389	0.026598	0.022551	0.013796	0.0073453	0.0035158	0.0016097	0.00070243	0.00031252	0.00012843	0.000052127	0.000021486	7.3246e-6	5.4935e-6	1.4649e-6	7.3246e-7	4.8831e-7	1.2208e-7	0	0	0
0.004277	0.013911	0.020407	0.018542	0.013235	0.0081654	0.0045523	0.0023771	0.0012016	0.00057169	0.00026637	0.00011561	0.00005762	0.000025148	0.000012574	3.7844e-6	2.3195e-6	1.2208e-6	2.4415e-7	1.2208e-7	1.2208e-7
0.0011982	0.0055488	0.011829	0.015568	0.014874	0.011644	0.0079427	0.0049325	0.0028579	0.0015431	0.00082597	0.00042165	0.00021229	0.00010474	0.000044558	0.000020997	0.000010743	6.4701e-6	2.8078e-6	1.4649e-6	2.4415e-7
0.00033266	0.0019874	0.005572	0.0096705	0.012156	0.012135	0.010023	0.0073853	0.0049576	0.0030712	0.0018406	0.001032	0.00057352	0.00029555	0.00015064	0.000082036	0.000037966	0.000018922	0.000010987	5.7376e-6	1.4649e-6
0.000082524	0.00066337	0.0022933	0.0051436	0.0079776	0.0098083	0.0098821	0.008654	0.0066658	0.0047711	0.0031887	0.002003	0.0011848	0.00071354	0.00040163	0.00022108	0.00011793	0.000059085	0.000032595	0.000019288	8.7896e-6
0.000021363	0.00020375	0.00088811	0.0023905	0.0045189	0.0066382	0.007972	0.0082141	0.0074003	0.0060277	0.0045306	0.0031664	0.0020944	0.0013389	0.00082426	0.00048733	0.0002892	0.00015223	0.000083867	0.000050784	0.000024415
5.0052e-6	0.000062748	0.00031911	0.0010145	0.0022841	0.0039446	0.0055572	0.006578	0.0068139	0.0063867	0.0053276	0.0041343	0.0030485	0.0021086	0.0014198	0.00089043	0.00056473	0.0003467	0.00020301	0.00011903	0.000066654
1.2208e-6	0.000019532	0.00010657	0.00039309	0.0010295	0.002088	0.0033873	0.0046234	0.0054785	0.005708	0.0054217	0.0047312	0.003757	0.0028564	0.0020691	0.0014381	0.00094915	0.00062198	0.00037588	0.00024501	0.000146
3.6623e-7	7.0805e-6	0.000035402	0.00015101	0.00044351	0.001032	0.0018662	0.0029412	0.0039051	0.0045689	0.0047735	0.0045908	0.0040581	0.0033561	0.0026499	0.0020072	0.0014176	0.00099456	0.00067045	0.00044106	0.00028236
2.4415e-7	1.8312e-6	0.00001233	0.000053592	0.00018006	0.00048477	0.00098675	0.0016946	0.0025244	0.0033021	0.003837	0.004035	0.0039103	0.0035412	0.0030169	0.002431	0.0018721	0.0014056	0.00098492	0.00068998	0.00045071
0	1.2208e-7	4.761e-6	0.000021363	0.000070805	0.00021022	0.00048111	0.00090593	0.0014951	0.0022025	0.0027803	0.0031877	0.0033823	0.0033442	0.0030413	0.0026295	0.0021974	0.0017123	0.0013059	0.00098321	0.00070231
0	1.2208e-7	1.0987e-6	5.9818e-6	0.000029787	0.000088506	0.00023329	0.00047561	0.00084184	0.0013444	0.001849	0.0023676	0.0027417	0.0028954	0.0028571	0.0026608	0.0023342	0.0019805	0.0016203	0.0012551	0.00095538
0	0	2.4415e-7	2.1974e-6	0.000012696	0.000037844	0.000099981	0.00022889	0.00045559	0.0007769	0.0011719	0.0016353	0.0020212	0.0022894	0.0024685	0.0024365	0.0023215	0.0020886	0.0017959	0.0014841	0.0011802
0	0	0	9.7662e-7	2.6857e-6	0.000015382	0.000041872	0.00011841	0.00022462	0.00043533	0.00070963	0.0010474	0.0014007	0.0017472	0.0019739	0.0020975	0.0021092	0.002045	0.0018688	0.0016096	0.0013709
0	0	1.2208e-7	2.4415e-7	1.9532e-6	6.5922e-6	0.000019532	0.000046145	0.00011622	0.00021449	0.00040115	0.00065116	0.00092071	0.001211	0.001489	0.0016823	0.0018204	0.0018356	0.0017503	0.00164	0.0014559
0	0	1.2208e-7	0	6.1039e-7	1.7091e-6	9.3999e-6	0.000020021	0.000052005	0.00011451	0.0002129	0.00037307	0.00056217	0.00079155	0.001051	0.0012703	0.0014488	0.001551	0.0015971	0.0015649	0.0014575
0	0	0	0	0	8.5454e-7	3.7844e-6	8.5454e-6	0.000022462	0.000050052	0.0001139	0.0002035	0.0003246	0.00051028	0.00070805	0.00088811	0.0011182	0.0012518	0.0013327	0.0013995	0.0013653
0	0	0	0	0	2.4415e-7	7.3246e-7	4.8831e-6	9.8882e-6	0.000026125	0.000053836	0.00010767	0.00017945	0.000303	0.00043484	0.00062223	0.00079362	0.0009522	0.0010757	0.0011789	0.0012159
0	0	0	0	0	1.2208e-7	2.4415e-7	1.4649e-6	5.0052e-6	0.000012452	0.000025758	0.000053958	0.00010218	0.00017897	0.00027577	0.0003998	0.00054507	0.00067106	0.00082256	0.00092241	0.0010202
0	0	0	0	0	0	3.6623e-7	1.2208e-7	1.8312e-6	4.761e-6	0.000010743	0.000026857	0.000054568	0.00010413	0.00016126	0.00024489	0.00035561	0.00046902	0.00059561	0.00071024	0.00082597
